DateTime,Entries,UniqueIPs
1463130400,538718,373465737
1463144809,538726,373465474
1463159209,538791,373411664
1463170009,538771,373411461
1463184399,538774,373412485
1463270809,538721,373413549
1463360808,538738,373466029
1463403997,538741,373465997
1463407648,538757,373458814
1463411204,538779,373454701
1463422003,538778,373438317
1463429204,538793,373438298
1463432804,538792,373438042
1463490429,538791,373434965
1463494026,538790,373433941
1463515617,538810,373433542
1463573221,538804,373429958
1463587643,538834,373405350
1463591230,538840,373405094
1463605627,538844,373405086
1463609223,538815,373403576
1463620027,538843,373424302
1463666836,538847,373423268
1463674020,538860,373423010
1463692030,538853,373420435
1463717220,538856,373422227
1463753242,538867,373421704
1463774839,538894,373426816
1463789215,538938,373451617
1463879226,538940,373452385
1464102480,538990,373445171
1464113256,539004,373409574
1464124039,538991,373400106
1464167222,538987,373399698
1464206879,538999,373330307
1464224827,539000,373330051
1464268037,539011,373329828
1464271633,539061,373329489
1464293255,539068,373329470
1464311225,539092,373369913
1464354426,539112,373369405
1464361634,539100,373368905
1464379627,539123,373368844
1464404819,539147,373435911
1464700024,539167,373435374
1464707231,539225,373434769
1464714442,539226,373434736
1464725229,539245,373432421
1464782825,539267,373432151
1464786412,539349,373430998
1464797234,539365,373430722
1464804423,539367,373430461
1464862034,539334,373430271
1464872824,539351,373424117
1464880024,539378,373424086
1464955618,539392,373424065
1464970033,539379,373423859
1464973617,539428,373421987
1464977252,539461,373421913
1465009625,539474,373422794
1465171600,539476,373423306
1465218409,539492,373422778
1465229212,539507,373422766
1465254415,539514,373422761
1465304819,539537,373418414
1465308416,539532,373418378
1465312018,539245,373352583
1465330013,539281,373352552
1465394809,539322,373350738
1465412815,539317,373344855
1465423615,539322,373344850
1465484802,539355,373344297
1465502813,539367,373344287
1465506406,539381,373344277
1465524413,539612,373409403
1465564020,539624,373409398
1465571205,539733,373409259
1465582026,539741,373403110
1465592808,539766,373403090
1465603603,539782,373408712
1465783609,539789,373414344
1465834013,539747,373411858
1465837611,539758,373411853
1465852005,539777,373411838
1465906020,539784,373411056
1465927614,539820,373409997
1466014016,539846,373408952
1466017604,539847,373408696
1466035615,539849,373408953
1466082413,539863,373408943
1466086056,539872,373408932
1466093212,539882,373408922
1466107615,539888,373408917
1466122004,539890,373409685
1466179616,539928,373409098
1466197602,539927,373400906
1466384804,539932,373408842
1466435211,539905,373406275
1466438805,539904,373389891
1466442403,539876,373389554
1466449608,539873,373389465
1466518006,539882,373388943
1466521593,539889,373388938
1466600800,539907,373388923
1466604404,539896,373388677
1466615248,539918,373388175
1466626023,539914,373387142
1466629611,539912,373387102
1466640430,539966,373404986
1466694415,539928,373401201
1466708820,539922,373398129
1466737620,539844,373397259
1466773623,539806,373396003
1466798831,539814,373395998
1466824031,539868,373396486
1466899609,539929,373401787
1466986003,539949,373402538
1467050850,539978,373402441
1467054411,539994,373402165
1467061608,539978,373401678
1467119222,539985,373393225
1467148028,540001,373392959
1467212846,540024,373392675
1467227217,540023,373392163
1467292014,540028,373374752
1467310016,540019,373374266
1467335225,540024,373382202
1467364011,540033,373382197
1467378416,540018,373381700
1467385629,540017,373380676
1467403623,540011,373361989
1467504405,540017,373378117
1467590813,540048,373394483
1467724018,540063,373390111
1467727615,540100,373388010
1467734828,540107,373387744
1467749220,540115,373387217
1467803207,540115,373387089
1467817628,540032,373378181
1467832031,540081,373377681
1467846428,540078,373361281
1467900417,540089,373293943
1467914831,540080,373289555
1467943623,540084,373293395
1467990437,540104,373293119
1468019230,540103,373292346
1468026412,540108,373306426
1468156013,540137,373375523
1468195608,540138,373375779
1468274833,540138,373375035
1468336051,540151,373374772
1468346825,540156,373374512
1468357624,540166,373374507
1468415249,540158,373349163
1468422430,540207,373349112
1468429617,540208,373349104
1468440416,540214,373349099
1468451233,540227,373349089
1468454827,540228,373349345
1468501657,540226,373346785
1468508823,540310,373338439
1468534038,540338,373338153
1468591630,540340,373337892
1468609631,540335,373337161
1468627638,540367,373361471
1468714015,540376,373371455
1468800415,540400,373371691
1468843656,540402,373371686
1468847237,540473,373371513
1468854455,540508,373370552
1468868842,540525,373370286
1468879621,540527,373370281
1468933661,540533,373370276
1468937242,540549,373361293
1468955244,540541,373360266
1469020032,540524,373360030
1469030659,540539,373358757
1469034432,540532,373358762
1469048831,540525,373349322
1469117260,540606,373348636
1469135229,540596,373346593
1469146030,540599,373347617
1469203619,540584,373343530
1469210810,540588,373343519
1469232418,540593,373351455
1469552815,540619,372823056
1469556427,540635,372821746
1469567213,540634,372821490
1469624832,540625,372820727
1469704117,540655,373343497
1469718450,540661,373343492
1469736463,540678,373341416
1469743637,540677,373341415
1469761673,540678,373342439
1469801263,540682,373080029
1469812039,540694,373080024
1469826440,540699,373077971
1469837224,540709,373078217
1469923618,540712,373078985
1470010018,540725,373342665
1470064059,540770,373341598
1470074853,540795,373340553
1470143249,540796,373334403
1470150437,540807,373334138
1470168437,540811,373331836
1470233258,540467,373322605
1470240452,540465,373252973
1470247646,540465,373252972
1470254821,540474,373252704
1470272828,540477,373253728
1470323259,540578,373249171
1470348431,540574,373244051
1470359231,540581,373245849
1471446699,541243,373164630
1471450125,541249,373164625
1471457502,541241,373163761
1471460867,541233,373097425
1471479005,541248,373097415
1471533282,541342,373097279
1471558073,541341,373097023
1471572532,541355,373104954
1471576191,541356,373137722
1471590445,541357,373170490
1471608616,541354,373169210
1471623259,541356,373168796
1471630203,541360,373168715
1471644466,541359,373168714
1471738194,541371,373168960
1471874662,541395,372120346
1471882159,541415,372120295
1471893116,541428,372120035
1471907406,541427,372119523
1471958184,541429,372119526
1471961610,541449,372119511
1471976087,541476,372119336
1471979348,541492,372119276
1472008127,541504,373167596
1472022628,541509,373167591
1472087619,541499,373167377
1472134352,541552,373150367
1472137922,541528,373146153
1472145247,541565,373145610
1472148557,541462,373137312
1472156027,541468,373129108
1472202705,541467,373128852
1472216981,541468,373128847
1472224499,541493,373126701
1472227957,541497,373126695
1472245949,541510,373125405
1472263770,541527,373141528
1472282081,541627,373149134
1472289069,541632,373157070
1472353797,541635,373158862
1472375429,541636,373159118
1472480075,541628,373158611
1472490791,541641,373158606
1472493864,541667,373158581
1472501667,541675,373156272
1472566120,541678,373155266
1472569972,541659,373154827
1472573509,541665,373154573
1472584553,541671,373154568
1472587731,541687,373154544
1472609344,541686,373154288
1472652906,541704,373151876
1472656407,541730,373151853
1472659972,541738,373151848
1472663501,541741,373151593
1472667067,541736,373151278
1472670778,541754,373118495
1472735730,541757,373118490
1472746271,541768,373117848
1472753492,541768,373117847
1472768511,541760,373117086
1472825583,541758,373116811
1472828946,541772,373114748
1472832712,541799,373114719
1472836301,541797,373113439
1472850592,541798,373113050
