DateTime,Entries,UniqueIPs
1468446722,4958,4958
1468461122,4956,4956
1468475523,4956,4956
1468489923,4955,4955
1468504322,4959,4959
1468518722,4959,4959
1468533122,4956,4956
1468547523,4957,4957
1468561924,4950,4950
1468576323,4950,4950
1468590723,4953,4953
1468605122,4953,4953
1468619522,4971,4971
1468633923,4970,4970
1468648323,4969,4969
1468662723,4960,4960
1468677123,4963,4963
1468691523,4965,4965
1468705923,4969,4969
1468720323,4969,4969
1468734722,4966,4966
1468749123,4966,4966
1468763523,4969,4969
1468777923,4969,4969
1468792322,4966,4966
1468806723,4967,4967
1468821123,4974,4974
1468835523,4977,4977
1468849923,4976,4976
1468864322,4979,4979
1468878723,5002,5002
1468893123,5005,5005
1468907523,5007,5007
1468921922,5010,5010
1468936323,5008,5008
1468950723,5010,5010
1468965123,5003,5003
1468979523,5009,5009
1468993923,5006,5006
1469008622,5000,5000
1469023023,5008,5008
1469037432,5015,5015
1469051822,5008,5008
1469066223,5002,5002
1469080622,5003,5003
1469095023,5002,5002
1469109422,5000,5000
1469123823,5005,5005
1469138222,4999,4999
1469152622,4999,4999
1469167023,4997,4997
1469181422,4996,4996
1469195823,4998,4998
1469210223,4991,4991
1469224623,4994,4994
1469239023,4999,4999
1469253422,4997,4997
1469267823,4995,4995
1469282222,4996,4996
1469296622,4995,4995
1469311022,4991,4991
1469325423,4989,4989
1469339822,4981,4981
1469354222,4976,4976
1469368623,4970,4970
1469383023,4980,4980
1469397423,4990,4990
1469411823,4997,4997
1469426222,4994,4994
1469440623,4988,4988
1469455023,4983,4983
1469469422,4978,4978
1469483822,4982,4982
1469498223,4977,4977
1469512623,4980,4980
1469527022,4977,4977
1469541422,4966,4966
1469555823,4967,4967
1469570222,4962,4962
1469584622,4965,4965
1469599022,4968,4968
1469613422,4963,4963
1469627823,4959,4959
1469642223,4945,4945
1469656622,4948,4948
1469671023,4951,4951
1469685422,4952,4952
1469699823,4953,4953
1469714223,4951,4951
1469728623,4950,4950
1469743022,4945,4945
1469757422,4947,4947
1469771822,4952,4952
1469786223,4959,4959
1469800623,4964,4964
1469815023,4971,4971
1469829423,4966,4966
1469843823,4962,4962
1469858222,4970,4970
1469872622,4970,4970
1469887022,4977,4977
1469901422,4981,4981
1469915822,4976,4976
1469930222,4978,4978
1469944622,4978,4978
1469959023,4977,4977
1469973423,4982,4982
1469987823,4988,4988
1470002223,4990,4990
1470016623,4990,4990
1470031023,4994,4994
1470045423,5005,5005
1470059823,5011,5011
1470074524,5012,5012
1470089223,5012,5012
1470103923,5010,5010
1470118322,5010,5010
1470132722,5018,5018
1470147122,5036,5036
1470161522,5038,5038
1470175923,5037,5037
1470190322,5039,5039
1470204722,5046,5046
1470219423,5057,5057
1470233823,5067,5067
1470248223,5059,5059
1470262623,5067,5067
1470277023,5075,5075
1470291423,5074,5074
1470305823,5075,5075
1470320224,5074,5074
1470334623,5078,5078
1470349023,5075,5075
1470363423,5074,5074
1470377823,5074,5074
1470392223,5076,5076
1470406623,5081,5081
1470421024,5090,5090
1470435423,5083,5083
1470449823,5083,5083
1470464223,5089,5089
1470478622,5087,5087
1470493023,5084,5084
1470507423,5080,5080
1470521823,5074,5074
1470536223,5072,5072
1470550623,5072,5072
1470565023,5072,5072
1470579423,5070,5070
1470593823,5069,5069
1470608223,5072,5072
1470622623,5068,5068
1470637023,5065,5065
1470651423,5058,5058
1470665823,5055,5055
1470680223,5053,5053
1470694623,5054,5054
1470709023,5055,5055
1470723423,5045,5045
1470737823,5046,5046
1470752223,5046,5046
1470766624,5043,5043
1470781023,5040,5040
1470795423,5037,5037
1470809823,5036,5036
1470824224,5040,5040
1470838646,5039,5039
1470853025,5044,5044
1470867424,5049,5049
1470881823,5053,5053
1470896223,5063,5063
1470910623,5068,5068
1470925024,5080,5080
1470939424,5091,5091
1470953823,5102,5102
1470968223,5113,5113
1470982623,5116,5116
1470997023,5124,5124
1471011423,5131,5131
1471025824,5130,5130
1471040223,5133,5133
1471054623,5137,5137
1471069023,5131,5131
1471083423,5133,5133
1471097824,5131,5131
1471112223,5132,5132
1471126623,5135,5135
1471141023,5131,5131
1471155423,5135,5135
1471169823,5131,5131
1471184223,5126,5126
1471198623,5128,5128
1471213023,5129,5129
1471227424,5135,5135
1471241823,5138,5138
1471256223,5140,5140
1471270623,5129,5129
1471285023,5132,5132
1471299423,5133,5133
1471313823,5132,5132
1471328223,5137,5137
1471342623,5142,5142
1471357023,5146,5146
1471371424,5149,5149
1471385823,5154,5154
1471400223,5159,5159
1471414623,5163,5163
1471429322,5164,5164
1471443722,5168,5168
1471458123,5167,5167
1471472822,5170,5170
1471487523,5164,5164
1471501923,5155,5155
1471516323,5165,5165
1471530722,5173,5173
1471545123,5178,5178
1471559822,5191,5191
1471574223,5201,5201
1471588622,5205,5205
1471603322,5220,5220
1471617722,5229,5229
1471632123,5245,5245
1471646523,5253,5253
1471660923,5270,5270
1471675623,5271,5271
1471690323,5266,5266
1471704723,5275,5275
1471719122,5276,5276
1471733522,5278,5278
1471747923,5278,5278
1471762323,5287,5287
1471776722,5294,5294
1471791123,5295,5295
1471805522,5300,5300
1471819923,5309,5309
1471834322,5318,5318
1471848722,5323,5323
1471863123,5327,5327
1471877522,5328,5328
1471891923,5321,5321
1471906323,5333,5333
1471920723,5335,5335
1471935122,5336,5336
1471949523,5338,5338
1471963923,5338,5338
1471978323,5348,5348
1471992722,5357,5357
1472007123,5368,5368
1472021523,5377,5377
1472035922,5378,5378
1472050322,5381,5381
1472064722,5385,5385
1472079122,5391,5391
1472093523,5393,5393
1472107923,5395,5395
1472122323,5404,5404
1472136722,5410,5410
1472151122,5409,5409
1472165521,5402,5402
1472179922,5408,5408
1472194322,5405,5405
1472208723,5404,5404
1472223122,5408,5408
1472237523,5400,5400
1472251922,5388,5388
1472266322,5385,5385
1472280722,5383,5383
1472295123,5380,5380
1472309822,5379,5379
1472324222,5373,5373
1472338622,5372,5372
1472353023,5375,5375
1472367422,5382,5382
1472381822,5379,5379
1472396223,5374,5374
1472411222,5374,5374
1472425922,5373,5373
1472440322,5369,5369
1472454722,5369,5369
1472469122,5373,5373
1472483822,5353,5353
1472498223,5355,5355
1472512622,5360,5360
1472527023,5358,5358
1472541422,5361,5361
1472555822,5359,5359
1472570222,5352,5352
1472584623,5350,5350
1472599022,5345,5345
1472613723,5341,5341
1472628422,5345,5345
1472643122,5330,5330
1472657522,5328,5328
1472671922,5330,5330
1472686322,5332,5332
1472700722,5331,5331
1472715123,5329,5329
1472729522,5330,5330
1472743923,5339,5339
1472758322,5338,5338
1472772722,5341,5341
1472787122,5345,5345
1472801522,5345,5345
1472815922,5349,5349
1472830323,5353,5353
1472844722,5353,5353
1472859122,5357,5357
1472873526,5355,5355
1472887922,5351,5351
1472902322,5354,5354
1472916723,5354,5354
1472931122,5359,5359
1472945522,5362,5362
1472959922,5361,5361
1472974324,5360,5360
1472988723,5361,5361
1473003122,5362,5362
